response,context,context/0,context/1,context/2,context/3,context/4,context/5
in malaysia custom now waiting for taxi home,May d year of d MONKEY bring U a gorilla of wealth gibbon of wisdom apes of success chimpanzee of health A Happy Monkey Scratching NEW YEAR to You,Think my mum is working,Thank you my dear friend so sweet of you Have a good year ahead,Going embargo i dun think so buy i dunno who is going as well meeting at one fulleston,when you wan me to be back,Oh Ok Nm la,Too many people at my house my relatives are here as well besides the china people
Can come fetch me liao,Hehehehe kidding my hottie,Dont have to apologise Mistakes like this are acceptable D,Yeah and body isnt one of them,Yeah just like my body Yeah fake smiley faces,Yeah you have to see it to know whachudoin,Yeah exactly It s a simple problem that s hard to explain in words,No have lor It has some problems that s why I stopped using it Wanna get it repaired then I can change for convenience sake
Ah vincent I just need to show you the ropes That s all,Aww alright bah haha,Hahaha alright What about tonight s mahjong,I guess she will be earlier than us,Haha you can go home with my mummy,Oh okay My mum keep asking you to go reh lol,I lazing on my bed Why eh,umm cally jeff hl Really not going because of tmr s work
U going to wait until U got nothing to do,Yup knock off liao but i still go a stack of invoices to print,Stay until dinner time lor,Yah lor now no one disturb so easier to do Somemore got tut too,Cos yest do until fell asleep,Gd lor u laugh at me,Wat time u be at home ah,Havent yet Think ard plus n eat until plus lah Is it convenient if i come ard 10plus
Youuuuuuuuuuuuuuuuuuu Make me miss u so much Dear u reply lyalready Haha And wad time will u b here,Time to poke my beloved yei Yei hee love u Pring,Chou laogong gooooooooood morning Hee wat time u slpt yesterday,Laogong wan an hee sayang ur mama more,Ding ding that s fast Hee Get home safe and later open eye nightbig OK your dear loves loves u Far catch some sleep,Chou bao Bei u coming o er are,OK give me min I go toilet,At home now too You taking rest now
Actually no leh Your printer Y,Red bucket your council campaign picture,Eh at my ct bench there s a bucket with one of your papers inside i found it over the sink in the toilet just now,Computing students can t make it tmr,Moo Estimated time of arrival,Hmm ok is fine jc s a bisshe that starts flagraising at h But i ll be in sch from h anyway,When can you open in the morning I need to take the quad,Is the labkey wth you
U will be at ard wat area,Then when can i get it from u,Haha Good things hafta come to an end Most importantly you must leave e place without any regrets,Probably not next fri k Jus rem i have photog coz hee cya,ll go home 1st,xy Tomw wat time u b in sch Think me n shuhui meeting in sch ard Then duno still can c movie or not cos duno if e rest wan meet dinner How,I thk they cut short hair nicer,ben say meeting change to next fri can or not
Oh Ya Above DECIMAL can liao Haha U shld have expected herto ask for your results right A leopard nvr change its spots Haha Anyway it s over lah I meant the results for last sem So don tthink too much lah Like that then got room for improvement bah Iffirst sem v gd then become lousier i think u ll feel more depressright,Hmm Yes can pull up one especially after u cleared those killermods Haha Breadth mod ar i also not very sure I haven t look intoit yet CORS also hasn t start no need so kan chiong lah,Not too bad Aiya nvm First year usually tougher U still can lolmeans okay bah Haha,Icic It s okay Aiya must be the soc mods which pull u down is it Hmm I think is DECIMAL and above Can de lah year istougher,Hmm MNO don t have much notes one but got readings lah,Nolah A How s your results Got maintian your first class honours,Not too bad Take mno lah But i think next sem is diff prof Haha,WPR is YPC is RCD is YPCH is YPB is WPB is From ulu pandan cc
hahaha omg yay thanks I love you HAHA What is his Chinesename btw lol,Oh icic Weitieng wants to take later bus but karyee Cheryl andSophie don t but they don t dare say haha later Weitieng angry,Hmm do you have any idea what historical example I could write aboutbesides Thomas Edison on the topic of success coming from hard work,Got your class ppl here leh they took my seat sian,Oh haha so nice I have no idea whether liu lets us but i just useanyway haha,Nope got Chinese are you in my class now,Haha so cute Thanks Tell you about it later bah I can t leave ifI don t finish the zuowen haha,Haha I m really looking forward to the weekend now Yeah another Haha yah when I came in chinese class she never say anything No I mfine with smsing now la haha sorry late reply just now prac I am emonow haha Got zuowen now I ll reply later
Yes omg I want to go how to get the membership ah,Yoyo weitieng sorry i ll be late Stuck in traffic jam,Haha fell asleep le Sorry for keeping you up I m going to sleepnow nights,Haha I think I will go see who teaching then decide whether I go bah Hehe I m not falling asleep thanks for staying up to chat with me Pdo you have anything on tmr You should sleep x haha good guess P butmy phone only got like songs hahaha,Haha yea I wanna sleep but writing is so tiresome P nope I m not Haha apparently they gonna hold classes aft sch exams for As _ Hahahow did you know I was distracted by music XD,Haha see if got time bah oh icic Raghav is cool haha oh thatsong got two versions One of them is entirely canto the other isduet the guy singing chinese LOL Haha err 3 I m gettingdistracted x yea its harder,Oh icic Before that you don t talk to raghav de ah Eh haha uhh theother one I know is hao xin fen shou hehe P haiz Chinese Too noob somust stress over it See so I still need to mug after sch exams sian,Haha but I don t completely understand the passages Must mug chengyubook hehe I understand this song My dad explain to me a lot oftimes before Haha weird How He so nice ask you do your work andsleep early Haha what all started then
Kk u all decided le then message me bah,Ok ar wad time,Kk then I slowly walk to his house soon,The bus ride how long,U knock off then message me bah,Howw u going his house,Got me leo and his mum,6pm leo s house
No no your description Haha ok then Chem major quiz today _,What the chem major quiz is today also _,I dunno Nice bottle btw remind me pass you chem today,Yeah chem is quiz okay haiz haha I just hope today passes by fast,Paiseh Dun want la so bad hahaha since I don t play I let him playlor Haha of course Who won t be emo after prom Oh awesome I wanta coffeemaker now Haha yeah but I haven t go for cca in a long time,Haha its np tired must sleep Haha I only look through hope canrmb bah Haha it s test one quiz,Haha if I potato I will most likely tell you de if not I willstill reply but sound v sian haha P yeap Today was western anywayhaha Eat until v full,Former not formal P hahaha you should ve spammed me I didn t wantto fall asleep again de ooo cool Yup just finished abbie andvivian ordered pastamania so heng and I went down to eat together P
Ok there s six people here now,Haha okay we re reaching soon,Hello radiance here Are u going to sofra soon,Mummy I m not eating lunch and dinner,Lol I feel like I just got out of a fst lecture,I wonder where the red beans went to,HAHA I hope so too xD I m eating dinper now LOL,YES I really gained weight hahaha
Ohh as in I was asking for the dates of the second week Hahaha coz Dec i m overseas,Ohh no cannot find you,Hahaha I crashed earlier than you What are you talking about Hahaha i m not whatever religion that is So I don t really know Phahaha yeah I think it s called that Was it scary o i ve never beenthere before,Ahh sorry I just left the house Sorry sorry I overslept,Knowing what s right doesn t mean much unless you do what sright Theodore Roosevelt,Knowing what s right doesn t mean much unless you do what sright Theodore Roosevelt,Knowing what s right doesn t mean much unless you do what sright Theodore Roosevelt,Knowing what s right doesn t mean much unless you do what sright Theodore Roosevelt
Ya Must go ar,Outta how many groups,Go gym Dulan I tis week sick,Cca where got Sianz,No la cca lols,I end at le Where u now,I see Later going,How come I got Pe lol
Ok i call u tml morning when i reach sch b4 then see how ugot mouse too haha,Eh u reaching sch wat time b4 u go for prof teoh meeting upass me ur laptop and charger and stuff i do my citation in urlaptop on ur file so no have so many version can,Other than automation from to u got any other lesson,Thanx a lot i tink u go learn some korean vulgarities then go scoldthe person at embassy maybe they scare of u will give u urvisa haha,Exactly the same topic nv change any words in the title atall lolz can send me,Can send me ur sss essay,Hey the file u uploaded for ic engine those are all alreadyparaphased or u copy and paste one,Ok i ll check out ur file if u still have the soft copy then uemail me lor thanx a lot
Hee Ya lo U go rest abit first love u,Bblp I really so lucky to have u to sayang me Kiss u,Laogooooogong in basement Hee,Heee come safely k Kiss u,Aiya so sayang u la Thks dearie,In mac lab Muacks,U guys ard somewhere,K Laogong at sembawang Muuacks
Ehhhhh lol did u win something from a blogshop lol,Ooo ok haha hmmm meet u liao then complain abt the module wahaha meet u say next wk ba u let me know see when u free lol thx eh going lunch lo u shd eat more,Haha u last time got take by the Dr Heng de leh,Hahaha ya its abt how to protect ur company when u outsource like wat access u give to the vendor ah wat u tell them or dun tell them ah tat kind can like talk abt past experience all these also quite broad de,Huh hmmm actually is can but may end up type alot sia meet liao say say like easier,Ah ok lol dun too late leh haha cos I already drag quite long liao arbo can t write finish wahaha,No la got so easy to smoke sibooo can ownself bluff de stuff I oso wun go ask pple liao sia I oso quite lazy lol,Hahahaha ok u like forever busy u shd try to find ways to slack in work and relax abit hahahaha
Lol awesome No need tweet riao,Okay read up about the stuff and I probably need you to help mecollate the members that are going for camp,Hmm not really meeting though Just wanna update you guys Dontworry have you received the email I sent,Hey tonight you all free to come astro,Hey tonight you all free to come astro,Haha I knowww you creeepo Im going in to order food first XD,Hey tmr lets meet DECIMAL at holland v The buffet is only from 5to 7pm because last order is at 7pm Dont be late alright so see ya D,Hey tmr lets meet DECIMAL at holland v The buffet is only from 5to 7pm because last order is at 7pm Dont be late alright so see ya D
Have a good day,s just agree to leave this aside till we meet later Too much to do so we both need to concentrate Had bfast,Yes Went to the bank too,Do you want to have dinner at imm later Can go hosin meet me at 6pm at imm ok,ON THE WAY BACK ALREADY I TREATED MY MUM DINNER AS WELL DID U CALL UR MUM TODAY,IN A PARTY WITH OUT SPONSORSHIP FOR WARNER BROTHER,Are you ready now,There is dou fu hua and you tiao at business
Eh wanna come out for dinner Me and deckie in suntec,any tit bits over there,Wad u want to major,Haha Mayb later i go n find jogging today,Ard smth or lk dat lor I wan like those surf shorts one lor finish dinner Wat did haf We going dinner now,Ok we meet after yr trip k Have fun n happy birthday in advance,No lah C u tom then,Ok I will follow your instruction
Went to eat wif parents wad,Nvm then I helping out at open jse,Oh I DECIMAL end Wan go back 2gether,Why so late de go hm,Sup how u going back,SET Hardcore on hard core,Tis week ran so mch lols Excited to reach my peak soon,Hahas dun too hardcore la After tis week my cardio will b imba le
Outside your house Coffee shop,R we meetin at at orchard mrt,Tis wk end lo wan me to crash r sch may crash tis wk hee,Glad to hear so u knw wat happen to me rite,ok lar if u want i share tat one lor pouch i keep myself,Haha Where got so fast lose weight thk muz go a month den got effect Gee later we go aust put bk e weight,t go haha Cz i got something on sat I told cindy already,t send u home On second tots betta not Wasted Oh N erm Not tellin
If not everyone go I dun go,Yea tt time exam period den nvr feed water for days Yup glen lamesia rear terrapin,Yea np Can see pics wad and can document its growing process Bestif can find a glass shell,I dun wanna kill another one Yea its awesome but must pick active de,Haha 4got le Hey u wan hermit crab I wan to play with but I dun wantake care Sponsor u but u take care P,Which one Oo Lols question left blank,Ok Lol math honor gg,Hey so when meet yeow heng
Lulz if anything get DECIMAL microfarad capacitors maybe or i m held up now,Lolwut highschool library bought pixiv artbook,Dunno You can try because main crystal is MHz anyway,Yeah just had lunch,My ninja teleportation skillz is hax you must agree,Yeah it s quite complete,I think it s now,Pe tee long pants
Hah prob is cannot what the of them stick together foreverything de so wat choice do we have now,Haiz u shldnt have asked ly shld have asked some other Guy Thenmaybe somehow can swop,Nope Only u all But I quite sui bian one As long as I got put myeffort I believe shld be ok haha,He very obviously dun want to join Steffi hah We just Jia more youbah unless Steffi want go other group or I go find random ppleagain Haha,Oops I meant u have a good night too,Kk thanks lots I have a good rest too,Dar dar can do me a favour help me send my bro s email to EMAIL and change all the presentation to interview Log in his hotmail EMAIL pw Jd NdlS is L not I,Eh sry think I cannot u just submit the thing first ba
Uhh do you want to fly after your first break I ll need to brief you,Uhh i may take past h sorry i think just start doing stuff without me I ll catch up,Dunno Anyway the pvc still there rite,Someone msged me i think it s kai he says he ll be lte,Depends on how haxxors i am but you go buy stuff without me or something,Meh I ll be late,I m downstairs lol,I can bring like spares Y
Can t End at,Lols the stuff he didn t teach,2moro gt on wad,Wat time will u be done,U writing for ms lee,Fuck 2moro Monday timetable,My captain heard me say pon,BTW I picked ur drawer with scissors
Of cus I am impressed Going out for dinner first then gonna see a doctor,Betta is the name for fighting fishes Whyy Washing dishes is good,Fighting fish Ohh washed the dishes Not bad,Was changing the water of my betta s tank Whachudoin,Wait lah Exercising mah,Yeah dont worry Whachudoin,Gonna exercise soon for a while Then maybe do some korean exerciseor watch some videos,I mean if you dont get that excited anymore then how leh
hmm can meet at north point at 2pm tmr it is at yishun,muacks kiss u many many laogong reach home tell me then wedisscuss plan for tmr k,laogong i reach home le reach home safe k,dear u make me feel sp lucky to have u u know get home safely ok gorest n sleep early,u reach home le,what time u free,oo kk i go check thanks,hee tofay eat rice instead porridge too long
Lols I at hostel le,But I not sure wat info to put in yet I jus buy corrugated board1st BTW size is a3 rite,Like board to work poster on,Hey wat things to buy for project,Hey wat things to buy for project,How many ppl before my hip,Wth I tot we going early to do Tues due le nabei,So 2moro go sch at
Haha morning Yeaps just ordered Whatcha eating for dinner Irealise it would have been a little awkward if you came instead hahaChester s chatting with Chris they all,Hahaha it s ok lah Chester is smsing roslyn anyway Haha omg why dunlike I liked it alot Haha what to buy Hmm buy you apple strudel,Haha ps someone from another room Haha okay let s do that Haha Idun really have anyth to buy Now at the noisy boy part haha,Oh we still have one more extra ticket in the end _ Hahaha oh nodun let me decide I have nothing in mind,Hahaha ooo I m coming One more stop,HAHAHA omg so cute Are you going to fix it,Hahaha I shall ask the kid D,I took ew at first then thought I d try circle line then decidedit ll take too long then I got off at bishan and took ns downwardshehe
Haha you may not even want to remind me probably But I dun think Iwill need to be reminded you are just really awesome in so many ways haha coz all the dares mah Hahaha so they will never jio me right Haha yeah she s blur and cute Yeah I just left Taking omgwhen I was walking to the bus stop got two kurohito walk past me thenkeep looking at me quite scary I dun like going home alone todaymy dad signed stressed so i didn t want to ask him to fetch me,Haha okay lah he is true to shihui And he kissed guys in the pastweek Haha I want to reply you Haha if things ever become rockybetween us must remind me of this promise ah Hahaha omg slap HahaI m in hostel,Haha yeah both dun deserve my kiss Haha its alright lah enjoyyourself Haha sorry I won t be unfaithful ever I promise Ahh youall tai guo fen Even if you didn t say Hahaha poke,My mentor s father in law passed away she s only going to be backThursday haha,Haha yups chatting with tay in her room now Long time no talk to herhaha haha going home Sadly no one to go home with tonight haha Iforgot dunno I think Jens or yeow xiang Yucks I dun want to kissany other guy P haha what try not to I won t How is that cool omgyou deserve a poke from shihui SLAP Haha I m faster now,Ahh sorry didn t reply hahaha I ll be happy if my mentor changeshaha Application very sian haha yeah but its nice I dun pay for itanyway HAHAHA YES HEHAP so daring hahaha when I went the kids whowent up really know how to dance,Ahh omg I just received your sms Hahaha sorry They almostwanted me to kiss a guy okay lucky didn t Hahaha omg I want also Iate hostel dinner haha we played truth or dare,Haha nice Our outing canceled hahaha
HAHA AND I CHOOSE YOU POCARI LOL,LOL HAHA VERY GOOD YES VOTE FOR ME HAHA I WILL MAKE A BETTERFEEDBACK SYSTEM AND BETTER EVENTS,BABIES ARE EASY TO MAKE HARD TO DELIVER,LOOK HAHA IT S GALLOPING,LOL HAHAHA I HAVE A PIGEON IN MY HANDS I M ON A HORSE,Okk I ll check w him,Lol wow o hahaha really super random sia HAHA CONGRATS I enjoy yourpizza hahaha Nooo I lie on my bed then fell asleep Haha you have togo assembly too,I ll ask him Haven t see him since fri haha
Good morning E PE covers all chapters except right I am so sleepy Btw u said tt Wed want go JE huh Ok lor What is e thing tt can be done there only,My hp low bat liao go charge now Later if long long no rply dun be angry,V NICE NEVER FAR,U take ur time btw u can meet him on Fri mah I dunno u la Mama I dun understand,U just now also use S SUNDAY tempt me OK la Che ping ok So hot out here headache sian 2molo PE die liao,dou hua Aiya cannot come Geylang must eat spicy Muslim stuff Curry otak yum yum Geylang sepak tu Geylang I love Geylang,so on hee later da bAO dinner fr Geylang Mmm NICE,SEEK SET SET SET GAMES SING
Hey Why dont we just go watch x men and have lunch Haha,Haha They cant what At the most tmr forfeit haha so how,Haha okay Today weekend leh,Kay Since we are out already,You want to go,Okay lor Will they still let us go a not ah Coz they will not know until later We drop our cards into the box right,Okay lor Wah like that def they wont let us go Haha What did they say in the terms and conditions,K Did you call me just now ah
Not sure le Mayb u can ask Mr lee wee yan,Nop I dun paint lols,Waa so late still got lesson,Hey u free at,Lols yh sj they all join tagball le Plus most senior take handball Think I taking tagball Wan join,Yea no prob big guyz,Eh ps I jus realised got art frm to le U all go ahead la,I ended now can pass u
Yay Good that you re not late,Haha okay not late today right,Haha my friends chatting here I shall just chat awhile,All the worksheets she gave lor haha me too OMG WHAT THE LOL somany I only watched one on Friday,Suibian Hahaha i m still doing the ws omg you should sleep too omg,LOL anything Next week as in after next sat is it I have chineseon tues and fri aftnn Other than that i m free,Ohh no now hardcore,Hahaha omg so cool Sian we don t have stuff like this le lor
ll only be back in the afternoon I need to visit my sup Whwn will you come,ll be back by then Before you go out give me a message,Which bus shall I take where to stop you still stay in the same hall and room,Oh Then ok la He he See you tomorrow la,see you la I wait for you,when shall I go ah afternoon can,No why in school,Hi you back or not
I ve made a reservation at DECIMAL pm liao,I ve made a reservation at DECIMAL pm liao,I ve made a reservation at DECIMAL pm liao,Good morning Good lucksssss later Haha,Okay can Will ask teck guan to think something creative for u Haha,Your part gives summary leh Very critical Haha Okay lah actuallyjust read out from script Nothing much de lah Just wanna hear yammysings tml,What u all buying Help me to buy leh I go join u all now Haha,Okay Mno deliverables settled right
Dont cook my dinner Im eating at fabian house,Hahaha awesome Just as I thought,Yo you managed to wake up,Ya right You know you left something at my house again,Okay bah Probably you let me know when you are done bah,Today too Until what time,Hey today you free We going to fab house,Hey today you free We going to fab house
Haha yeah both dun deserve my kiss Haha its alright lah enjoyyourself Haha sorry I won t be unfaithful ever I promise Ahh youall tai guo fen Even if you didn t say Hahaha poke,My mentor s father in law passed away she s only going to be backThursday haha,Haha yups chatting with tay in her room now Long time no talk to herhaha haha going home Sadly no one to go home with tonight haha Iforgot dunno I think Jens or yeow xiang Yucks I dun want to kissany other guy P haha what try not to I won t How is that cool omgyou deserve a poke from shihui SLAP Haha I m faster now,Ahh sorry didn t reply hahaha I ll be happy if my mentor changeshaha Application very sian haha yeah but its nice I dun pay for itanyway HAHAHA YES HEHAP so daring hahaha when I went the kids whowent up really know how to dance,Ahh omg I just received your sms Hahaha sorry They almostwanted me to kiss a guy okay lucky didn t Hahaha omg I want also Iate hostel dinner haha we played truth or dare,Haha nice Our outing canceled hahaha,Fineeeeeeeeeeee I have too,Hahaha you indirectly did
Haha yeap its nice Getting addicted to it again hahaha Hmm what doyou mean its not representative,I sent an email to Chris and nicky v long ago but they never reply haha x x,Haha yeap Decided to eat banmian instead haha Haha yups Ohh wejust meeting to do lit review,Hahaha yeah after awhile I realised the medicine talks are all thesame Haha just reached clementi Going to eat pepper lunch,HAHA SO GAY HAHAHA,OHH IS IT HAHAHA HI RAGHAV Omg so lame Haha I just about to leavesch Yeap,Pig going up in min,Sorry Hilda and I will be late i m going to her room to bathe
I go bathe first k,Happy 22nd birthday May all ur wishes come true stay pretty all time successes in ur career romances fall on u Stay happy n enjoy ur birthday,ll still like you,ll give a better one k,Wat r u doing Still sad ah,Never mind lah i also loud before now ur turn lor Hee,U leave ur sis alone at e salon So wat time u meeting ur friend,U reach home den let me noe lah
Ahh I see That s good,LOL okay Might be trying to go back to the topic about us,Yeah watching my eyesight dont worry Whachudoin then,Ohhh watching vampire diaries,Hehehehe what are you doing while resting,Ohhh tutor Kim I see,Yeah just like big bang Anxiety Act act nia,One episode is only mins Not suspicious meh
Wat s your msn I created a new acct Haha,Haha No need to be stressful lah I ve a feeling he doesn t want tohelp us to integrate lah He just do his own part n then want us tobuild on his parts But to think of it now if i add my part into his5 u also add laura also add Then it s still not integrated wat Haha Think sylvia really damn emo also,Seriously i don t know wat is xy doing by keep uploading his codesto ivle Haha I already tried to integrate my part to his mycode Now he comes out with Haha Think we ho seh liao,Integrating to your mycode3 shld be okay As mentioned ytd i createda product table n used another controller,Laura zai She told me hers okay le Haha,I only can add a product with e user id after login But i still haveno idea on how to display products of a particular user How abt u,U know wat s e password for kingkong1,Haha Icic Wah good leh u
Shitz I bought other stuff le Got other cp stuffs to buy,Jus finished test Gg,Can t End at,Lols the stuff he didn t teach,2moro gt on wad,Wat time will u be done,U writing for ms lee,Fuck 2moro Monday timetable
Metabolism mostly waste my efforts Biochem was B,Bad how did you do Btw screw dbs,Lol and playing lol etc,Woohoo smartass Congrats your gf is officially smarter than you,Lol quite good what My cap is DECIMAL Oh the slow climb to honours,Not as good as I expected but at least cap increased lol You,Yarrr long time ago u,Sure Lan party style or lan shop style
Hey dad can I stay over I wanna gym at sch Plus I realised thatThursday got cluster outing and Friday got script checking,DECIMAL at go U coming hostel 1st,Later I buying nasi lemak u wan,Lmao I just gymed on sat 2moro den gym u wan,th May MONDAY TIME AM outside General Office for BUSOn facebook,I tot meeting at GO 1st Den got bus fetch,I rushing there to slp 1st lols,I haven check yet But only holidays won t learn much for breakdance
Hahaha sorry lor Hahaha no lah Not all of them are me,Haha nope they won t really ask de lah Besides I got take withother guys Haha wow really Quite cheap leh,Haha so cute Jyjy Sorry was showing my parents Japan pics How is it now,Huh then for now all no internet leh,Ohh connect directly to mifen,Huh really I thought you used LAN,Ahh how call Starhub,Relax What does the error msg say
agh why am I screwing myself up again c,Eh might want to grab a table first it looks pretty crowded over here,I have switches with me now i ll bring all the parts i have tmr I did up the shield and the motor board but i haven t cut the way connector wire yet cuz i dunno what length,Yeah definitely i ll be in school from,The rest aren t here yet,Highest is mm alr,Uhh shop don t have mm but i think lab should have the rest are good to go,Wah zzz some bus in front of mine broke down and the whole lorong is jammed
Congrats can celebrate today No wonder dat day u dun wan to say So hw many pts u got,got enuff money to take taxi home a not,Zping at her house so she not free Then if 7plus at amk central u ok or not,m goin orchard now but gota go home for dinner but can pei eat hee,so sian anywhere oso cannot go actualy i dun really care bout it u dun save money like tat la if not let me pay next time,I dun haf lessons tmr How abt on tues,Hi baby ive just got back from work and i was wanting to see u allday I hope i didnt piss u off on the phone today If u are up give me a call,No lah Different Mine is com engine Nt together wif computing I wan to noe pple going in wif me leh Haha
Haha fail What could you do i m confused Hahaha she listening tomingwei sing,Haha I mean if I meant it your house will be on fire now Haha gostalk yourself P Hahahahaha no la smu so freaking far dun want,Haha wow you are totally stalking my timetable Haha poke I hateyou again then D hahaha I don t mean it when I say lah P I dun know,Haha dunno Its in the city though Haha we can go in de ah Idm Hahahahaha okay okay I don t say le,Haha i m sure you can tank XD haha hopefully bah Ooo haha I nevergo before Haha hmm where else Smu is still stuck in my head hehe Got benches there can study in Weekend not a lot of ppl de OMG The cat super duper cute,Haha I hate youuuuuu Haha okay Chem quiz really today _ I forgotto write oxidation number but its over so oh wells,Haha no la I just can t think of any Hahahahaha hopefully I can buylah I ll ask my dad he s nicer P haha anyday is okay No one jio mefor anything yet Haha true that but its exams haha nice I wantto sleep too,Ohh Hahaha cook for me pidgins Haha what why
dun forget u still owe me a treat ah haha,if u busy maybe we meet next time lor,hey i got a job lobang for u interested in surveyor job,kkie i meet u 1pm at the bugis mrt,u free later k come my hse help me some pc stuff,m busy doing some stuff so dont tink got time to call u,have u informed them abt the gathering,wanna meet to go study
Haha but just let you know lah haha okay hmm I ll ask weirentake photo haha my heels are white And tall Haha ooo icic I willjust borrow hehe P,OHH I DIDN T SEE YOUR LAST SMS LOL YEAH I M WEARING RED AND WHITE,Gan Come my room in mins sorry I m late got no time le,Yeap I think we asking ws,I may not be,Hahaha Yeah I did six colours I got a white dress with red stripesat the top Yeap reach home le Haha nice timing So you borrowed atowel Haha we re getting lunch Yeap my dad says its okay P I mgoing to get heels later but my battery low so I m leaving my phoneto charge at home ps I ll reply you later,Haha I go first okay Sorry,Okay I will Promise
Cuz i wake up take them for brisk walk Then miss breakfast N after walkin i slp in office Then missed lunch Hehehe U got lunch,Fine thank how r u,Oh Juz wondering if you wanna meet up in the evening,Izzit Shuhui thks so too,Helen hi where frm Intro pls,Ask rest whether they can also,Do we need to study supernova ie from page to,m on my way liao Thk meet u at e busstop outside e mrt at
Lols go up and find,Oh okay I find I aft tt,Oh u not going home Wat time can go Oo,After legs and paddles,Wat movie wat time where,Ps swimming Erm get back to u in awhile,My hse got direct bus go ramp take,Nvm la u stay lo My parents won t allow la
Haha no la probably still have Haha have fun Dun need reply me,NO NO I WASN T TALKING TO HER LOL I WAS DOING THE CROSS STITCH THING,LOL OHH PS I DIDN T SEE YOUR EARLIER SMS Someone was opening my msgsomg Heehee,EHH I DUNNO WHY I DIDN T SEE THAT SMS ABOUT SGD wanted to askyou come take your blazer,Haha okay Nope not Nobel Year sc Haven t end coz selection meeting now,Haha sensei Ooo haha my gm ended le now waiting for the lastmeeting sorry never really reply,Haha okay Yeap will be busy aft sch Katta is past tense of ani adj Yasuku stem adj is yasui meaning cheap or easy depending onthe context,Haha pon sia So bad Haha okay Have fun I just came back sch
Yup jeff need to leave early,Oh ya lol and jeff too,Haha you can meet at cally house then walk over with him,Im not at home,Oh you sure about it,Then you think it s wow,Eh im not a secondary school student nor a teacher,No eh What I want to see is effort Because your poster will be seenby all secondary schools And you need to wow them
I wont be able to is the latest for morning But I ll stillprefer so that I have some buffer b4 my next appt,Haha I thought u don t go track Anyway up to u just do morepractice if u can k I see u the week after next then,If later earliest will be abt 4pm,Oh no other slots Sunday morning or other wkdays are fine as well,Oh so how is 4pm on sunday,Shld be okay If I m late u all can start first anyway U tell therest lor I not in dl,Eh don t 4get to bring the for megaupload tml so that I can passto yuhui DECIMAL,Among us u r the earliest already Tell u slp in dl already nearer U can drive back to school tml night and sleep
Haha pig I just finished dinner haha my chinese is not good lah just tyco de Haha don t stay up Sleep some more,Haha I got come online de just never sign in msn or Skype what hahareally Ah whatever whichever coffee it is is still nice haha youonly or exams right,Hahaha np Chinese was not too bad I guess but chem just die ah Hahagood for you sleep more Haha yeah she took and type then send LOL haha why you want to see it Yeah haha I know you are kidding coz Ididn t,Haha no no I just don t check my phone much Haha psps P hahah whodoesn t have friends Ohh wow its damn cool lah Espresso is strongerI think Hmm actually i m not very sure,Yeah I think so where are you btw,Hahaha hehe evil laughter Finally can reply haha ps See haha atotally unknown side of me o haha i m not my goodness Youreyesight is terrible Dun want smu ah far away,Haha fail What could you do i m confused Hahaha she listening tomingwei sing,Haha I mean if I meant it your house will be on fire now Haha gostalk yourself P Hahahahaha no la smu so freaking far dun want
Wat time u leaving home,at bugis from to 5pm Or if we are going for NB instead of yogasana on sat we can go do the free ABT KB and pilates instead At cine from to,ya lor wat else can i do,Hee hee how come u know i like dog Wats your religion You study wat course,HEY KATE HOPE U R OK WILL GIVE U A BUZ WED LUNCH GO OUT SOMEWHERE A DRINK IN TOWN CUD GO WATERSHD A BIT PPL FROM WRK WILL B THERE LOVE PETE,Hey long time no see how are Still working And wat course got into in the uni,Hmm think me ok lor U ok As e time u decide lor,Hai RANGER how r u
Hmmm On mon can Cos my other fren oso comin to my hse on mon Gee,s u alone e rest is gp foto liao,What are u doing tonight Go Geylang eat,Anyone has a cultural or ethnic top i can borrow,I in LT Get frm u tut later,okie tink meet up again then paiseh leh,Hey my email is whackers33 hotmail com Haha know this reply is darn late forgot all abt it till now Oh anyway wanna catch a show this afternoon say plus,Izit Den i muz go look ard liao U interested to change jobs too Haha den can go look ard together
Haha yeah I just got then P reach home safely of course coz you sendme all the way home Haha wow is alot Haha pass me tmr Hmm Irealised I have to go sch tmr morning also haha need reach at _ Haha then next time take bah Didn t you take it with yourfriends the other time,As in my phone will sometimes lag so I receive msgs later its damnsian one Reach home le yay D,It clearly wasn t Help me thank your mum for the food It was supernice and I love the fried chicken super duper alot D,Yo wen Hilda ask if you wanna meet on wed at at clementi forlunch then work on lit review tgt like compile And settle ourschedule And we can go nus library to find the standards thing,Ehh I might have arp sorry I ll get back to you asap,THIS CONVO IS NOT MAKING ANY SENSE,NO I DUN HAVE SHORT HAIR,Ah _ I just got your sms _
I am playing table tennis,i am very sleepy good nite,Just finished my dinner My sister come to Singapore tonight but I also cant meet her Too busy loh what to do have to work Have your dinner What are you doing,just finished bath So tired tomorrow when you finish your class give me a cal ok love you good night bye,break for dinner i am very tired coz just too hot that why tired loh if you also tired take a nap dun too tired ok bye,Oh oh sorry I always like this It is raining but my shirt just wash leh remember to take your lunch ok bye bye,I am company ah boa to check up what are you doing still in your dreaming,I am ok everything thanks for your concern Where are you
Ya lols At first I shamed him,Lols I can t see u,Hey Wads ur point of comparison,BTW ur math ass 5c i wrong I tink,I tot a lot ppl will get girl Take pic of ur buddy Is he cool,Hey do you all wan meet Mr lim for tip 2moro,Hey do you all wan meet Mr lim for tip 2moro,Do u wan me to wait for u
